feature	class_a	class_b	n_paired_receptors	median_paired_difference_a_minus_b	paired_difference_ci_low	paired_difference_ci_high	wilcoxon_statistic	p_value	p_fdr	comparison
intracellular_cavity_complete_principal_axis_1_z_alignment	Gi/o	Gq/11	2	0.0235499999999999	-0.0249999999999999	0.0720999999999999				Gi/o vs Gq/11
intracellular_cavity_complete_principal_length_1	Gs	Gi/o	0							Gs vs Gi/o
intracellular_cavity_complete_principal_length_1	Gs	Gq/11	0							Gs vs Gq/11
intracellular_cavity_complete_principal_length_1	Gi/o	Gq/11	2	0.1468999999999996	-0.7584000000000017	1.052200000000001				Gi/o vs Gq/11
intracellular_cavity_complete_principal_length_2	Gs	Gi/o	0							Gs vs Gi/o
intracellular_cavity_complete_principal_length_2	Gs	Gq/11	0							Gs vs Gq/11
intracellular_cavity_complete_principal_length_2	Gi/o	Gq/11	2	-0.1793499999999994	-0.8699999999999992	0.5113000000000003				Gi/o vs Gq/11
intracellular_cavity_complete_principal_length_3	Gs	Gi/o	0							Gs vs Gi/o
intracellular_cavity_complete_principal_length_3	Gs	Gq/11	0							Gs vs Gq/11
intracellular_cavity_complete_principal_length_3	Gi/o	Gq/11	2	0.7260000000000004	0.6277000000000008	0.8243				Gi/o vs Gq/11
intracellular_cavity_complete_sphericity	Gs	Gi/o	0							Gs vs Gi/o
intracellular_cavity_complete_sphericity	Gs	Gq/11	0							Gs vs Gq/11
intracellular_cavity_complete_sphericity	Gi/o	Gq/11	2	0.0183	0.0104	0.0262				Gi/o vs Gq/11
intracellular_cavity_complete_surface_area	Gs	Gi/o	0							Gs vs Gi/o
intracellular_cavity_complete_surface_area	Gs	Gq/11	0							Gs vs Gq/11
intracellular_cavity_complete_surface_area	Gi/o	Gq/11	2	33.37749999999994	-24.504999999999995	91.25999999999988				Gi/o vs Gq/11
intracellular_cavity_complete_tm3_side_fraction	Gs	Gi/o	0							Gs vs Gi/o
intracellular_cavity_complete_tm3_side_fraction	Gs	Gq/11	0							Gs vs Gq/11
intracellular_cavity_complete_tm3_side_fraction	Gi/o	Gq/11	2	0.04875	0.0060999999999999	0.0914				Gi/o vs Gq/11
intracellular_cavity_complete_tm5_side_fraction	Gs	Gi/o	0							Gs vs Gi/o
intracellular_cavity_complete_tm5_side_fraction	Gs	Gq/11	0							Gs vs Gq/11
intracellular_cavity_complete_tm5_side_fraction	Gi/o	Gq/11	2	0.02425	0.0039	0.0446				Gi/o vs Gq/11
intracellular_cavity_complete_tm6_side_fraction	Gs	Gi/o	0							Gs vs Gi/o
intracellular_cavity_complete_tm6_side_fraction	Gs	Gq/11	0							Gs vs Gq/11
intracellular_cavity_complete_tm6_side_fraction	Gi/o	Gq/11	2	-0.04875	-0.0913999999999999	-0.0061				Gi/o vs Gq/11
intracellular_cavity_complete_tm7_side_fraction	Gs	Gi/o	0							Gs vs Gi/o
intracellular_cavity_complete_tm7_side_fraction	Gs	Gq/11	0							Gs vs Gq/11
intracellular_cavity_complete_tm7_side_fraction	Gi/o	Gq/11	2	-0.02425	-0.0446	-0.0039				Gi/o vs Gq/11
intracellular_cavity_complete_volume	Gs	Gi/o	0							Gs vs Gi/o
intracellular_cavity_complete_volume	Gs	Gq/11	0							Gs vs Gq/11
intracellular_cavity_complete_volume	Gi/o	Gq/11	2	108.47690000000006	-0.8238000000000056	217.7776000000001				Gi/o vs Gq/11
intracellular_cavity_complete_wall_fraction_h8	Gs	Gi/o	0							Gs vs Gi/o
intracellular_cavity_complete_wall_fraction_h8	Gs	Gq/11	0							Gs vs Gq/11
intracellular_cavity_complete_wall_fraction_h8	Gi/o	Gq/11	2	0.0082999999999999	0.0032999999999999	0.0132999999999999				Gi/o vs Gq/11
intracellular_cavity_complete_wall_fraction_icl1	Gs	Gi/o	0							Gs vs Gi/o
intracellular_cavity_complete_wall_fraction_icl1	Gs	Gq/11	0							Gs vs Gq/11
intracellular_cavity_complete_wall_fraction_icl1	Gi/o	Gq/11	0							Gi/o vs Gq/11
intracellular_cavity_complete_wall_fraction_icl2	Gs	Gi/o	0							Gs vs Gi/o
intracellular_cavity_complete_wall_fraction_icl2	Gs	Gq/11	0							Gs vs Gq/11
intracellular_cavity_complete_wall_fraction_icl2	Gi/o	Gq/11	2	-0.0033	-0.0122999999999999	0.0056999999999999				Gi/o vs Gq/11
