pdb_id	has_cif	title	keywords	method	emdb_ids	citation_title	citation_doi
8IYX	True	Cryo-EM structure of the GPR34 receptor in complex with the antagonist YL-365	Inhibitor, GPR34 receptor in complex with the antagonist YL-365, MEMBRANE PROTEIN, MEMBRANE PROTEIN-INHIBITOR complex	ELECTRON MICROSCOPY	PDB; WWPDB; EMDB | 8IYX; D_1300036843; EMD-35832	Cryo-EM structures of human GPR34 enable the identification of selective antagonists.	10.1073/pnas.2308435120
8JPF	True	Focused refiment structure of NTSR1 in NTSR1-GRK2-Galpha(q) complexes	Biased signaling, SIGNALING PROTEIN	ELECTRON MICROSCOPY	PDB; WWPDB; EMDB | 8JPF; D_1300038526; EMD-36478	GPCR activation and GRK2 assembly by a biased intracellular agonist.	10.1038/s41586-023-06395-9
8K5B	True	Cryo-EM structure of niacin bound human hydroxy-carboxylic acid receptor 2 (Local refinement)	GPCR, G-Protein, MEMBRANE PROTEIN, signaling	ELECTRON MICROSCOPY	PDB; WWPDB; EMDB | 8K5B; D_1300039085; EMD-36900	Structural basis for ligand recognition and signaling of hydroxy-carboxylic acid receptor 2.	10.1038/s41467-023-42764-8
8K5C	True	Cryo-EM structure of Acipimox bound human hydroxy-carboxylic acid receptor 2 (Local refinement)	GPCR, G-Protein, MEMBRANE PROTEIN, acipimox, signaling	ELECTRON MICROSCOPY	PDB; WWPDB; EMDB | 8K5C; D_1300039564; EMD-36901	Structural basis for ligand recognition and signaling of hydroxy-carboxylic acid receptor 2.	10.1038/s41467-023-42764-8
8K5D	True	Cryo-EM structure of GSK256073 bound human hydroxy-carboxylic acid receptor 2 (Local refinement)	GPCR, G-Protein, MEMBRANE PROTEIN, signaling	ELECTRON MICROSCOPY	PDB; WWPDB; EMDB | 8K5D; D_1300039565; EMD-36902	Structural basis for ligand recognition and signaling of hydroxy-carboxylic acid receptor 2.	10.1038/s41467-023-42764-8
8KEX	True	CryoEM structure of Gq coupled MRGPRX4 with agonist DCA-3P, local	MRGPRX4, Bile acid, Cholestatic itch, GPCR, Agonist, MEMBRANE PROTEIN	ELECTRON MICROSCOPY	PDB; WWPDB; EMDB | 8KEX; D_1300040267; EMD-37191	Structure-guided discovery of bile acid derivatives for treating liver diseases without causing itch.	10.1016/j.cell.2024.10.001
8UGW	True	Computational design of highly signaling active membrane receptors through de novo solvent-mediated allosteric networks	The adenosine a2a receptor, MEMBRANE PROTEIN	X-RAY DIFFRACTION	PDB; WWPDB | 8UGW; D_1000278055	Computational design of highly signalling-active membrane receptors through solvent-mediated allosteric networks.	10.1038/s41557-024-01719-2
8W8S	True	Cryo-EM structure of the AA14-bound GPR101 complex	GPCR, orphan receptor, GPR101, constitutive activity, cryo-EM, structural protein, MEMBRANE PROTEIN	ELECTRON MICROSCOPY	PDB; WWPDB; EMDB | 8W8S; D_1300040679; EMD-37358	Structure of GPR101-Gs enables identification of ligands with rejuvenating potential.	10.1038/s41589-023-01456-6
8WCC	True	Cryo-EM structure of the CHA-bound mTAAR1 complex	CHA, mTAAR1, MEMBRANE PROTEIN	ELECTRON MICROSCOPY	PDB; WWPDB; EMDB | 8WCC; D_1300040978; EMD-37438	Structural and signaling mechanisms of TAAR1 enabled preferential agonist design.	10.1016/j.cell.2023.10.014
8XBG	True	Human GPR34 -Gi complex bound to S3E-LysoPS, receptor focused	GPCR, MEMBRANE PROTEIN	ELECTRON MICROSCOPY	PDB; WWPDB; EMDB | 8XBG; D_1300042062; EMD-38217	Structural basis for lysophosphatidylserine recognition by GPR34.	10.1038/s41467-024-45046-z
8XBI	True	Human GPR34 -Gi complex bound to M1, receptor focused	GPCR, MEMBRANE PROTEIN	ELECTRON MICROSCOPY	PDB; WWPDB; EMDB | 8XBI; D_1300042064; EMD-38219	Structural basis for lysophosphatidylserine recognition by GPR34.	10.1038/s41467-024-45046-z
8ZRT	True	Cryo-EM structure focused on the receptor of the ET-1 bound ETBR-DNGI complex	ENDOTHELIN, RECEPTOR, Gi, COMPLEX, MEMBRANE PROTEIN	ELECTRON MICROSCOPY	PDB; WWPDB; EMDB | 8ZRT; D_1300048436; EMD-60404	Structure of endothelin ET B receptor-G i complex in a conformation stabilized by unique NPxxL motif.	10.1038/s42003-024-06905-z
