receptor_name	uniprot	species	hauser_uniprot_code	hauser_iuphar_name	direct_human_accession_match	supported_Gs	supported_Gi_o	supported_Gq_11	supported_G12_13	n_supported_modeled_families	n_supported_four_families	supported_2plus_modeled_families
prlhr_human	P49683	Homo sapiens	PRLHR	PrRP	True	0.0	0.0	0.0	0.0	0.0	0.0	False
ptafr_human	P25105	Homo sapiens	PTAFR	PAF	True	0.0	1.0	1.0	0.0	2.0	2.0	True
q3ksp2_ebvg	Q3KSP2	Epstein-Barr virus			False							
q76sf8_hhv8	Q76SF8	Human herpesvirus 8			False							
qrfpr_human	Q96P65	Homo sapiens	QRFPR	QRFP	True	0.0	1.0	1.0	0.0	2.0	2.0	True
rl3r2_human	Q8TDU9	Homo sapiens	RL3R2	RXFP4	True	0.0	1.0	0.0	0.0	1.0	1.0	False
rxfp1_human	Q9HBX9	Homo sapiens	RXFP1	RXFP1	True	1.0	1.0	0.0	0.0	2.0	2.0	True
s1pr1_human	P21453	Homo sapiens	S1PR1	S1P1	True	0.0	1.0	0.0	1.0	1.0	2.0	False
s1pr3_human	Q99500	Homo sapiens	S1PR3	S1P3	True	0.0	1.0	1.0	1.0	2.0	3.0	True
s1pr5_human	Q9H228	Homo sapiens	S1PR5	S1P5	True	0.0	1.0	0.0	1.0	1.0	2.0	False
ssr1_human	P30872	Homo sapiens	SSR1	SST1	True	0.0	1.0	0.0	0.0	1.0	1.0	False
ssr2_human	P30874	Homo sapiens	SSR2	SST2	True	0.0	1.0	1.0	0.0	2.0	2.0	True
ssr3_human	P32745	Homo sapiens	SSR3	SST3	True	0.0	1.0	0.0	0.0	1.0	1.0	False
ssr4_human	P31391	Homo sapiens	SSR4	SST4	True	0.0	1.0	0.0	0.0	1.0	1.0	False
ssr5_human	P35346	Homo sapiens	SSR5	SST5	True	0.0	1.0	0.0	0.0	1.0	1.0	False
sucr1_human	Q9BXA5	Homo sapiens	SUCR1	Succinate	True	0.0	1.0	1.0	0.0	2.0	2.0	True
ta2r_human	P21731	Homo sapiens	TA2R	TP	True	0.0	0.0	1.0	0.0	1.0	1.0	False
taa7f_mouse	Q5QD08	Mus musculus			False							
taar1_human	Q96RJ0	Homo sapiens	TAAR1	TA1	True	1.0	0.0	1.0	0.0	2.0	2.0	True
taar1_mouse	Q923Y8	Mus musculus			False							
taar9_mouse	Q5QD04	Mus musculus			False							
trfr_human	P34981	Homo sapiens	TRFR	TRH1	True	0.0	0.0	1.0	0.0	1.0	1.0	False
tshr_human	P16473	Homo sapiens	TSHR	TSH	True	1.0	0.0	1.0	0.0	2.0	2.0	True
us28_hcmva	P69332	Human cytomegalovirus			False							
v2r_human	P30518	Homo sapiens	V2R	V2	True	1.0	0.0	1.0	0.0	2.0	2.0	True
xcr1_human	P46094	Homo sapiens	XCR1	XCR1	True	0.0	1.0	0.0	0.0	1.0	1.0	False
